hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
GRDTRK.UNT.CBT.ENG.CBT.MDM 	S	*	G	*	UCECM-	ENGINEER COMBAT MEDIUM
GRDTRK.UNT.CBT.ENG.CBT.HVY 	S	*	G	*	UCECH-	ENGINEER COMBAT HEAVY
GRDTRK.UNT.CBT.ENG.CBT.MECH 	S	*	G	*	UCECT-	ENGINEER COMBAT MECHANIZED (TRACK)
GRDTRK.UNT.CBT.ENG.CBT.MOT 	S	*	G	*	UCECW-	ENGINEER COMBAT MOTORIZED
GRDTRK.UNT.CBT.ENG.CBT.MNT 	S	*	G	*	UCECO-	ENGINEER COMBAT MOUNTAIN
GRDTRK.UNT.CBT.ENG.CBT.RECON 	S	*	G	*	UCECR-	ENGINEER COMBAT RECON
GRDTRK.UNT.CBT.ENG.CSN 	S	*	G	*	UCEN--	ENGINEER CONSTRUCTION
GRDTRK.UNT.CBT.ENG.CSN.NAV 	S	*	G	*	UCENN-	ENGINEER NAVAL CONSTRUCTION
GRDTRK.UNT.CBT.FLDART 	S	*	G	*	UCF---	FIELD ARTILLERY
GRDTRK.UNT.CBT.FLDART.HOW 	S	*	G	*	UCFH--	HOWITZER/GUN
GRDTRK.UNT.CBT.FLDART.HOW.SPD 	S	*	G	*	UCFHE-	SELF-PROPELLED
GRDTRK.UNT.CBT.FLDART.HOW.AAST 	S	*	G	*	UCFHS-	AIR ASSAULT
GRDTRK.UNT.CBT.FLDART.HOW.ABN 	S	*	G	*	UCFHA-	AIRBORNE
GRDTRK.UNT.CBT.FLDART.HOW.ARC 	S	*	G	*	UCFHC-	ARCTIC
GRDTRK.UNT.CBT.FLDART.HOW.MNT 	S	*	G	*	UCFHO-	MOUNTAIN
GRDTRK.UNT.CBT.FLDART.HOW.LIT 	S	*	G	*	UCFHL-	LIGHT
GRDTRK.UNT.CBT.FLDART.HOW.MDM 	S	*	G	*	UCFHM-	MEDIUM
GRDTRK.UNT.CBT.FLDART.HOW.HVY 	S	*	G	*	UCFHH-	HEAVY
GRDTRK.UNT.CBT.FLDART.HOW.AMP 	S	*	G	*	UCFHX-	AMPHIBIOUS
GRDTRK.UNT.CBT.FLDART.ROC 	S	*	G	*	UCFR--	ROCKET
GRDTRK.UNT.CBT.FLDART.ROC.SRL 	S	*	G	*	UCFRS-	SINGLE ROCKET LAUNCHER
GRDTRK.UNT.CBT.FLDART.ROC.SRL.SRSPD 	S	*	G	*	UCFRSS	SINGLE ROCKET SELF-PROPELLED
GRDTRK.UNT.CBT.FLDART.ROC.SRL.SRTRK 	S	*	G	*	UCFRSR	SINGLE ROCKET TRUCK
GRDTRK.UNT.CBT.FLDART.ROC.SRL.SRTOW 	S	*	G	*	UCFRST	SINGLE ROCKET TOWED
GRDTRK.UNT.CBT.FLDART.ROC.MRL 	S	*	G	*	UCFRM-	MULTIPLE ROCKET LAUNCHER
GRDTRK.UNT.CBT.FLDART.ROC.MRL.MRSPD 	S	*	G	*	UCFRMS	MULTIPLE ROCKET SELF-PROPELLED
GRDTRK.UNT.CBT.FLDART.ROC.MRL.MRTRK 	S	*	G	*	UCFRMR	MULTIPLE ROCKET TRUCK
GRDTRK.UNT.CBT.FLDART.ROC.MRL.MRTOW 	S	*	G	*	UCFRMT	MULTIPLE ROCKET TOWED
GRDTRK.UNT.CBT.FLDART.TGTAQ 	S	*	G	*	UCFT--	TARGET ACQUISITION
GRDTRK.UNT.CBT.FLDART.TGTAQ.RAD 	S	*	G	*	UCFTR-	RADAR
GRDTRK.UNT.CBT.FLDART.TGTAQ.SND 	S	*	G	*	UCFTS-	SOUND
GRDTRK.UNT.CBT.FLDART.TGTAQ.FLH 	S	*	G	*	UCFTF-	FLASH (OPTICAL)
GRDTRK.UNT.CBT.FLDART.TGTAQ.CLT 	S	*	G	*	UCFTC-	COLT/FIST
GRDTRK.UNT.CBT.FLDART.TGTAQ.CLT.DMD 	S	*	G	*	UCFTCD	DISMOUNTED COLT/FIST
